tnsn ,titem_name ,titem_price ,tdescription 
7930-01-412-1015 ,Disinfectant ,24.92,"Citra-Cide is a concentrated, all-purpose, neutral non-rinse disinfectant cleaner and deodorizer. It is effective against HIV-1 on pre-cleaned environmental surfaces that have been previously soiled with blood and body fluids. It will not dull floor surfa"
7930-01-513-9967 ,Disinfectant ,48.74,"Clean ""N"" Disinfect cleans, disinfects and deodorizes in one easy step. For use in hospitals, nursing homes, schools, homes and food processing establishments. Product can be used to treat hard non-porous surfaces such as walls, floors, sink tops, toilet "
7930-01-380-8495 ,Disinfectant ,58.4,"Disinfectant/virucide formulated to meet rigid hospital standards while leaving a pleasant honeysuckle scent. It helps control cross-infection by killing a broad range of gram positive and negative bacteria, viruses and fungi.  "
6840-01-410-8860 ,Disinfectant ,58.68,"Floral/Country Garden fragrance. Aerosol disinfectant-deodorant; inactivates HIV-1 (AIDS virus) and Herpes Simplex Types 1 and 2 viruses on pre-cleaned environmental surfaces or objects previously soiled with blood or body fluids. Kills TB, salmonella, pa"
6840-00-242-4770 ,Disinfectant (Calcium Hypochlorite) ,104.4,"Quantity Price Breaks Available:  (21-40 (BX) $103.24), (50-99 (BX) $102.08), (100+ (BX) $100.92). Discounted price will be reflected in your billing statement. Box contains one dozen, (3-3/4-lb.) containers for a total of 45 lbs. Technical grade calcium "
6840-00-255-0472 ,Disinfectant (Calcium Hypochlorite) ,140.24,"Technical grade calcium hypochlorite contains 65% available chlorine.  Use as a disinfectant and algaecide. Effective for chlorinating pool water, keeps pool in sanitary condition and protects pool against growth of bacteria and algae. Also used as a germ"
7930-01-549-8191 ,Disinfectant Cleaner ,215.57,"3M Twist 'n Fill Disinfectant Cleaner #25H. Rinse-free, EPA-registered, hospital germicide for disinfecting and cleaning non-critical items. Kills Hepatitis B virus (HBV), HIV, MRSA, VRE, Herpes Simplex I and II and other pathogens. Complies with OSHA's b"
7930-01-436-7950 ,Disinfectant Cleaner ,208.9,"3M Twist 'n Fill Disinfectant/Cleaner #18H. Multi-purpose, hospital-grade germicidal detergent cleaner. Disinfects, cleans and deodorizes surfaces such as floors, walls, metal, painted surfaces, exterior bowl surfaces, basins, showers and lavatory fixture"
6840-01-411-9963 ,Disinfectant Pre-Moistened Towelettes ,34.67,"The product is a one step germ-killing disinfectant and deodorizing wipe.  It is a janitorial grade disinfectant cleaner for use on non-porous surfaces.  It is effective against Salmonella Choleraesuis, Staphylococcus aureus, Herpes simplex virus 1 & 2, H"
6840-01-367-2914 ,Disinfectant-Cleaner ,35.3,"Box contains 100, (1/2 oz.) pouches. XLD 120 disinfectant detergent is a phosphate-free concentrate formulation designed to provide effective cleaning, disinfection and deodorizing for hospitals. Can be used on floors, walls, tables, chairs, sink tops and"
6840-01-342-4143 ,Disinfectant-Cleaner ,155.28,"This concentrated formula cleans, disinfects and deodorizes. Also kills odor-causing bacteria on hard, non-porous surfaces such as basins, tubs and showers. Dissolves wax buildup, grease and grime from floors. Contains 19.9% pine oil (for heavy-duty clean"
6840-00-584-3129 ,Disinfectant-Detergent ,116.05,"General-use janitorial disinfectant is ideal for cleaning and deodorizing urinals, bathrooms, shower stalls, and animal quarters. Effective against intestinal bacteria. Concentrated cleaner contains at least 60% pine oil and 10% soap. Rinses easily and le"
6840-00-687-7904 ,Disinfectant-Detergent ,174.22,"General-use janitorial disinfectant is ideal for cleaning and deodorizing urinals, bathrooms, shower stalls, and animal quarters. Effective against intestinal bacteria. Concentrated cleaner contains at least 60% pine oil and 10% soap. Rinses easily and le"
6840-00-935-9813 ,Disinfectant-Detergent ,41.31,"So-Sure S-70 when diluted and used as directed serves as a bactericidal, fungicidal and/or virucidal agent. Use to clean, deodorize and disinfect walls, floors, woodwork and other similar washable hard surfaces in hospitals, public buildings and food serv"
6840-00-551-8346 ,Disinfectant-Detergent ,744.73,"General-use janitorial disinfectant is ideal for cleaning and deodorizing urinals, bathrooms, shower stalls, and animal quarters. Effective against intestinal bacteria. Concentrated cleaner contains at least 60% pine oil and 10% soap. Rinses easily and le"
7045-01-280-0900 ,Disk Holders ,8.46,"Index cards included for indexing disks. These quick-load, loose-leaf holders for 3-1/2"" diskettes include four pockets each, providing a total capacity of 40 diskettes. Fits neatly into a three-ring binder.  "
7510-01-504-7390 ,Disk Holders ,6.24,"These quick-load, loose-leaf holders for 3-1/2"" diskettes include four pockets each, providing a total capacity of 40 diskettes. Fits neatly into a three-ring binder.  "
7530-01-418-1125 ,Disk Label ,2.96,"Package contains 25 sheets with 15 labels each (for a total of 375 labels). Use these self-adhesive disk labels to easily identify information stored on 3-1/2"" floppy disks. Labels are not removable.  "
7530-01-375-8400 ,Disk Label ,3.03,"Package contains 40 sheets of 2 labels per sheet (for a total of 80 labels). Four assorted colors: blue, green, red and yellow. Use these self-adhesive disk labels to easily identify information stored on 3-1/2"" floppy disks. Labels are not removable.  "
8105-01-317-2448 ,Disk Mailer ,9.61,"This fiberboard or paperboard mailer with static-protective lining is preprinted with warnings against bending, moisture, and magnetic fields and with ""From"" and ""To"" followed by three blank lines for easy addressing. Adhesive closure.  "
5130-00-596-9728 ,Disk Sander ,186.09,"Heavy-duty sander uses 7"" diameter abrasive disks and wheels and has a 12-amp rating at 120-volt AC and a 6000 rpm no-load speed. Sander has a right-angle drive, end handle and a two-position side handle for mounting either right or left of spindle. Spind"
5130-00-596-1176 ,Disk Sander ,259.86,"Right-angle air sander for medium- and heavy-duty sanding, deburring, blending, smoothing and brushing operations. No-load speed is 6000 rpm. Sander has lever throttle and auxiliary side handle. 1/4"" female NPTor NPTF air inlet connection. The spindle has"
5130-00-340-0719 ,Disk Sander (Compact) ,101.17,"Sand and grind intricate shapes in close quarters with this right-angle compact air sander and grinder. No-load speed is 20,000 rpm. Built-in speed regulator. Sander has lever throttle and 1/4"" collet. Operating pressure is 90 psig and sander has a 1/4"" N"
5130-00-204-0623 ,Disk Sander (Dual Action) ,81.68,"Sander pad motion provides a combination oscillation and rotating action to produce a nonrepeating path and a finish free of scratches and swirls. Ideal for finish sanding, shaping and feather edging. Has one-hand lever throttle operation. No-load speed i"
5130-00-900-9514 ,Disk Sander (Pneumatic) ,125.47,"Use with 1/2"" carbide burr, 1"" mounted wheel and 3"" back-up pad. . Furnished with 3"" back-up pad. Sand and grind with this right-angle air sander and grinder. No-load speed is 12,000 rpm. Sander has lever throttle and 1/4"" collet and is used with carbide "
7045-01-233-0052 ,Disk Storage Case ,8.23,"Easy and efficient storage for your 3-1/2"" disks. Locking unit stores 80 disks. Includes eight adjustable dividers and a acrylic cover.  "
5345-01-546-1810 ,"Disk, Abrasive ",16.24,"Grit: 36 Aluminum oxide. Abrasive disk has a style that is plain flat, with arbor hole, no adhesive backing. Speed rating is 10,000 RPM (max). The disk has a 4.5"" outside diameter, without slits or slots.  "
5345-01-546-0758 ,"Disk, Abrasive ",15.47,"Grit: 50 Aluminum oxide. Abrasive disk has a style that is plain flat, with arbor hole, no adhesive backing. Speed rating is 10,000 RPM (max). The disk has a 4.5"" outside diameter, without slits or slots.  "
7510-01-446-9407 ,Display Book/Easel ,7.66,"Display book/easel vertical style. Sets up in seconds with velcro tabs; clear, non-stick two-sided pockets allows user to insert up to 40 charts. Made of polypropylene with nylon protective edges.  "
7520-01-456-7876 ,Display Easel Tripod ,98.41,"Sturdy aluminum construction with easy to assemble 'unfold and twist' action collar that locks legs in place. Adjustable heights, from 35 inches to 64 inches for table top to floor displays. Holds signs, marker boards, flip charts and other display materi"
7360-00-139-0480 ,Disposable Dinnerware ,48.05,"Kit contains 60 each of the following disposable items: food cups; hot/cold cups; sets of flatware; paper table napkins; paper plates and inserts. Packaged in a fiberboard box that contains a 25-person, one-day, two-meal kit. (NFES #0135)  "
8415-01-392-8448 ,Disposable Gloves ,1.31,"Disposable polyethylene gloves. Powder-free, an ideal disposable glove for food preparation, small parts handling, and for healthcare use. Complies with FDA regulation. Designed to fit either hand with a circumference of 8.5 to 9.0"" (Contains no latex).  "
8415-01-434-1781 ,Disposable Latex Gloves ,9.55,"Fits hand size 9 (palm circumference 9""). General-purpose, disposable, lightly powdered, non-sterile, medical-grade, micro-touch latex examination gloves have a tapered finger design and can be comfortably worn on either hand.  "
8415-01-492-0176 ,Disposable Nitrile Gloves ,9.96,"Disposable nitrile ambidextrous gloves are powder-free and latex-free. Gloves fit tightly for a comfortable grip that reduces fatigue. Industrial-grade suitable for general-purpose use. Four mils thick, 9-1/2"" in length.  "
8415-01-492-0178 ,Disposable Nitrile Gloves ,9.96,"Disposable nitrile ambidextrous gloves are powder-free and latex-free. Gloves fit tightly for a comfortable grip that reduces fatigue. Industrial-grade suitable for general-purpose use. Four mils thick, 9-1/2"" in length.  "
8415-01-492-0179 ,Disposable Nitrile Gloves ,9.96,"Disposable nitrile ambidextrous gloves are powder-free and latex-free. Gloves fit tightly for a comfortable grip that reduces fatigue. Industrial-grade suitable for general-purpose use. Four mils thick, 9-1/2"" in length.  "
8415-01-492-0180 ,Disposable Nitrile Gloves ,9.96,"Disposable nitrile ambidextrous gloves are powder-free and latex-free. Gloves fit tightly for a comfortable grip that reduces fatigue. Industrial-grade suitable for general-purpose use. Four mils thick, 9-1/2"" in length.  "
4240-01-492-0177 ,Disposable Particulate Respirator ,8.73,"Lightweight, low-profile design provides worker comfort, minimizes interference with eye protection. N95 protection provides protection against non-oil particulates and is 95% efficient. Designed to function as a one-size-fits-all respirator to include ad"
7210-00-883-8494 ,Disposable Pillowcase ,65,"This single-use pillowcase is excellent for use in airplanes, hospitals, and barracks. The soft, non-woven cellulose fiber pillowcase is disposable, non-irritating, and flame-resistant.  "
8520-01-415-2929 ,Disposable Washcloth ,68.77,"Disposable wash cloth for the cleansing of hands, face and body without water. Individually packaged towelette can be used in hospitals, clinics and nursing care facilities. Ideal for use in camping, sports, travel and fitness activities. (NFES #0206)  "
7920-01-280-0187 ,Disposable Wipes ,14.29,"Supplied 100 wipes per pop-up box. Compatible with Kimberly-Clark Grabber, dispenser No. 09352 General purpose wiper for absorbing liquids, lubricants and oils. Wipes are made of material bonded with cellulose.  "
6645-21-558-0133 ,Diver's Watch ,367.49,"Automatic mechanical movement, 25 jewels. Diver's wristwatch features a watertight stainless steel case (316L), screw down crown, easy-set date function and sapphire crystal. Watch is water resistant: 30 ATM (300m/1,000ft.) with tritium gas tube illuminat"
6645-20-001-9382 ,Diver's Watch ,290.93,"Quartz movement, high torque. Diver's wristwatch features a watertight stainless steel case (316L), screw down crown, easy-set date function and sapphire crystal. Watch is water resistant: 30 ATM (300m/1,000ft.) with tritium gas tube illumination and iaw "
5210-00-263-0376 ,Divider (Spring) ,11.12,"Has a solid adjustment nut. Machinists & sheet metalworkers scribe lines & lay out work using this heat treated tool steel. Consists of circular band spring, two rectangular legs, threaded steel rod with knurled adjusting nut, thumb attachment on top of c"
5210-00-263-0378 ,Divider (Spring) ,8.65,"Has a solid adjustment nut. Machinists & sheet metalworkers scribe lines & lay out work using this heat treated tool steel. Consists of circular band spring, two rectangular legs, threaded steel rod with knurled adjusting nut, thumb attachment on top of c"
5210-00-266-7047 ,Divider (Wing) ,42.8,"Wing divider is used by machinists and sheet metalworkers for scribing lines and laying out work. Tool consists of two legs, adjusting arc or wing, locking device and adjusting spring with nut. Legs may be one or two pieces, square or rectangular, with ro"
7520-00-985-5907 ,Document File Box ,0.96,"Pamphlets, reports, and bulletins can be easily filed with this durable document box.  "
7520-00-281-5932 ,Document File Box ,19.56,"Ready-reference, drop-front file stores pending letter-size documents. File has a hinged front that opens to 90? and a hinged cover that opens to 180?. Covered with heavy paper, this item has reinforced corners, leather pull on back and has brightly faste"
7510-01-506-7475 ,Document Protector ,29.61,"Color appears on 1/5 cut protruding tabs. These top-loading sheet protectors can be used for separating or indexing documents by category or organizing presentations. Each sheet features seven holes on the 11"" side which will fit a variety of binders. Twe"
7510-01-318-6591 ,Document Protector ,8.24,"Color appears on the straight cut edge. These top-loading sheet protectors can be used for separating or indexing documents by category or organizing presentations. Each sheet features seven holes on the 11"" side which will fit a variety of binders. Twent"
7510-01-236-0059 ,Document Protector ,6.31,"Heavy weight. Guard important paperwork against accidental spills or tears. Letter-sized, three-hole-punched protector is made of heavy-gauge clear plastic.  "
7510-01-381-2219 ,Document Protector ,4.11,"Heavy weight. Top-loading document protectors are made of durable polypropylene. Will not absorb ink from copier paper, turn yellow or become brittle. Easy access makes inserting and changing correspondence, order forms, certificates, or photos a snap.  M"
7510-01-347-9579 ,Document Protector ,4.35,"Heavyweight, clear pocket provides maximum space and protection for your important documents. Seven-hole punched on 11"" side. Documents slide through top pocket opening easily and static free.  "
7510-01-347-9580 ,Document Protector ,3.19,"Top-loading document protectors are made of durable polypropylene. Will not absorb ink from copier paper, turn yellow or become brittle. Easy access makes inserting and changing correspondence, order forms, certificates, or photos a snap.  Multi-hole punc"
7510-01-381-5300 ,Document Protector ,3.22,"Top-loading document protectors are made of durable polypropylene. Will not absorb ink from copier paper, turn yellow or become brittle. Easy access makes inserting and changing correspondence, order forms, certificates, or photos a snap.  Multi-hole punc"
7510-01-429-7477 ,DOD Version Time Management System Repla ,63.35,"Special edition 2"" binder made of high quality cloth with a debossed DOD logo on the front cover. Features sewn construction, nickel corner protectors, three nickel rings, three storage pockets and a business/credit card pocket.  "
7510-01-429-7475 ,DOD Version Time Management System Repla ,46.13,"Special edition 2"" binder made of high quality vinyl with a debossed DOD logo on the front cover. Features sewn construction, nickel corner protectors, three nickel rings, three storage pockets and a business/credit card pocket.  "
8710-01-415-6950 ,Dog Food ,58.71,"Notice:  Within the next few weeks, the packaging will change from a 40 lb bag to a 50 lb bag and a new price will be established. Check back frequently for updates. High-performance dry kibble dog food for military working and security dogs. Comes in a "
5340-00-116-2375 ,Door Closer ,27.31,"For mounting on hinge side of 38"" interior or 30"" exterior door. Single-action closer with liquid control is cover free. Mechanical door-closing device automatically closes and controls hinged or pivoted doors. Surface mounted for no-hassle. Fasteners and"
5340-00-116-2376 ,Door Closer ,30.04,"For mounting on hinge side of 48"" interior or 36"" exterior door. Single-action closer with liquid control is cover free. Mechanical door-closing device automatically closes and controls hinged or pivoted doors. Surface mounted for no-hassle. Fasteners and"
5340-00-664-1326 ,Door Hinge ,3.24,"Heavy-duty hinge features five knuckles and eight mounting holes. Applicable for use on wood and hollow core metal doors. Full mortise hinge is made of primer-coated wrought steel. This hinge has a plain bearing. Includes removable, steel, primer-coated p"
5340-00-664-1328 ,Door Hinge ,1.38,"Light-duty hinge features five knuckles and six mounting holes. Applicable for use on wood and hollow core metal doors. Full mortise hinge is made of primer-coated wrought steel. This hinge has a plain bearing. Includes removable, steel, primer-coated pin"
7220-01-386-6722 ,Doormat ,13.99,"Natural coir (coconut husk) fiber, vinyl-backed, heavy-duty mat is suitable for commercial, institutional and industrial entryways. Brush-like pile surface cleans dirt and moisture from shoes.  "
7220-00-238-8852 ,Doormat ,25.89,"Useful in entryways to remove dirt from shoes. Made from recycled tires, this quality mat will not damage or mar floors. This reversible mat features corrosion-resistant cross-wires which make it flexible and easy to roll for storage.  "
7220-00-224-6486 ,Doormat ,59.58,"Useful in entryways to remove dirt from shoes. Made from recycled tires, this quality mat will not damage or mar floors. This reversible mat features corrosion-resistant cross-wires which make it flexible and easy to roll for storage.  "
5340-00-568-9915 ,Doorstop ,25.11,"Easy-to-use, hinged doorstop securely holds doors in desired position when in ""down"" position. Fashioned from cast bronze, this manual door holder possesses a spring lever with a replaceable rubber tip. Lever can be locked in vertical position when not in"
5340-00-907-8277 ,Doorstop ,1.13,"Molded rubber doorstop textured or smooth finish. Dimensions are 1 to 1-3/4"" wide; 3-3/4 to 5-1/2"" long; 1-1/4 to 2"" high tapering to 1/8"" at the point.  "
4510-00-927-5561 ,Double Faucet ,53.88,"Can be mounted on counter or other horizontal surface. Has 1/2"" external pipe threads for water connections. Chrome-plated brass unit consists of a swing spout with an aerator outlet. Features an 8"", center-to-center distance between hot and cold water co"
4510-00-253-0857 ,Double Faucet ,56.86,"Can be mounted on wall or other vertical surface. Features two lever handles and 1/2"" internal pipe threads for water connections. Chrome-plated brass unit consists of a swing spout with an aerator outlet. Features an 8"", center-to-center distance between"
5110-00-596-7217 ,Double-Bit Ax ,21.39,"Double-bit, western-style ax is men's size. Features a 34-1/2-long hickory handle, 3-1/2-lb head, 4-7/8-wide cutting edge and 10-5/8-long head. Built for tough forestry and fire-suppression work, this ax has a forged, hardened steel head and a ground and "
7110-01-195-6424 ,Double-Door Credenza ,926.56,"The double-door credenza has two doors with a full-width drawer above. This traditional executive wood furniture will add a touch of class to any office. The 18th-century design includes tops, drawers and doors with molded edges, wraparound molding that s"
7110-01-388-5065 ,Double-Door Credenza ,926.56,"The double-door credenza has two doors with a full-width drawer above. This traditional executive wood furniture will add a touch of class to any office. The 18th-century design includes tops, drawers and doors with molded edges, wraparound molding that s"
7520-00-285-5823 ,Double-Ended Mechanical Pencil ,42.39,"Uses replacement lead red 7510-00-285-5855 or blue 7510-01-425-2825. This double-ended pencil with spring pocket clip includes two colored wax leads. Black barrel twists to expel lead; ends are color-coded to indicate lead inside. Accepts 1-3/8""-long lead"
7520-00-285-5822 ,Double-Ended Mechanical Pencil ,42.39,"Uses replacement lead red: 7510-00-285-5855. This double-ended pencil with spring pocket clip includes two colored wax leads. Black barrel twists to expel lead; ends are color-coded to indicate lead inside. Accepts 1-3/8""-long leads that are specifically "
7110-01-195-6417 ,Double-Pedestal Desk ,"1,782.27","Double-pedestal desk features a center pencil drawer with a central lock, two tray drawers, two box drawers, and two file drawers. A convenient pullout dictation shelf is located on the visitor's side of the desk. Desks feature a central lock for locking "
7110-01-195-6418 ,Double-Pedestal Desk ,"1,913.14","Double-pedestal desk features a center pencil drawer with a central lock, two tray drawers, two box drawers, and two file drawers. A convenient pullout dictation shelf is located on the visitor's side of the desk. Desks feature a central lock for locking "
7110-01-195-6419 ,Double-Pedestal Desk ,"1,984.33","Double-pedestal desk features a center pencil drawer with a central lock, two tray drawers, two box drawers, and two file drawers. A convenient pullout dictation shelf is located on the visitor's side of the desk. Desks feature a central lock for locking "
7110-01-388-5123 ,Double-Pedestal Desk ,"1,984.33","Double-pedestal desk features a center pencil drawer with a central lock, two tray drawers, two box drawers, and two file drawers. A convenient pullout dictation shelf is located on the visitor's side of the desk. Desks feature a central lock for locking "
7110-01-388-5155 ,Double-Pedestal Desk ,"1,782.27","Double-pedestal desk features a center pencil drawer with a central lock, two tray drawers, two box drawers, and two file drawers. A convenient pullout dictation shelf is located on the visitor's side of the desk. Desks feature a central lock for locking "
7110-01-388-5189 ,Double-Pedestal Desk ,"1,913.14","Double-pedestal desk features a center pencil drawer with a central lock, two tray drawers, two box drawers, and two file drawers. A convenient pullout dictation shelf is located on the visitor's side of the desk. Desks feature a central lock for locking "
7110-01-495-2785 ,Double-Pedestal Desk ,"1,941.09","Double-pedestal desk features a center pencil drawer with a central lock, two tray drawers, two box drawers, and two file drawers. Desk includes a top overhang on the visitor side to provide writing surface during meetings or conferences. Desks feature a "
7110-01-495-2786 ,Double-Pedestal Desk ,"1,941.09","Double-pedestal desk features a center pencil drawer with a central lock, two tray drawers, two box drawers, and two file drawers. Desk includes a top overhang on the visitor side to provide writing surface during meetings or conferences. Desks feature a "
7510-01-555-2905 ,Double-Pocket Report Cover ,22.55,"Double-pocket presentation portfolio handily accommodates supporting materials, including samples, forms or reference materials. Made of coated, leather-grained paper stock. Each pocket is 5"" deep x 9-1/2"" wide and has a 3/8"" capacity for 8-1/2 x 11"" pape"
7510-00-584-2489 ,Double-Pocket Report Cover ,14.51,"Double-pocket presentation portfolio handily accommodates supporting materials, including samples, forms or reference materials. Made of coated, leather-grained paper stock. Each pocket is 5"" deep x 9-1/2"" wide and has a 3/8"" capacity for 8-1/2 x 11"" pape"
7510-00-584-2490 ,Double-Pocket Report Cover ,14.51,"Double-pocket presentation portfolio handily accommodates supporting materials, including samples, forms or reference materials. Made of coated, leather-grained paper stock. Each pocket is 5"" deep x 9-1/2"" wide and has a 3/8"" capacity for 8-1/2 x 11"" pape"
7510-00-584-2491 ,Double-Pocket Report Cover ,14.51,"Double-pocket presentation portfolio handily accommodates supporting materials, including samples, forms or reference materials. Made of coated, leather-grained paper stock. Each pocket is 5"" deep x 9-1/2"" wide and has a 3/8"" capacity for 8-1/2 x 11"" pape"
7510-00-584-2492 ,Double-Pocket Report Cover ,14.51,"Double-pocket presentation portfolio handily accommodates supporting materials, including samples, forms or reference materials. Made of coated, leather-grained paper stock. Each pocket is 5"" deep x 9-1/2"" wide and has a 3/8"" capacity for 8-1/2 x 11"" pape"
7510-01-512-2414 ,Double-Pocket Report Cover ,14.51,"Double-pocket presentation portfolio handily accommodates supporting materials, including samples, forms or reference materials. Made of coated, leather-grained paper stock. Each pocket is 5"" deep x 9-1/2"" wide and has a 3/8"" capacity for 8-1/2 x 11"" pape"
7510-01-512-2415 ,Double-Pocket Report Cover ,14.51,"Double-pocket presentation portfolio handily accommodates supporting materials, including samples, forms or reference materials. Made of coated, leather-grained paper stock. Each pocket is 5"" deep x 9-1/2"" wide and has a 3/8"" capacity for 8-1/2 x 11"" pape"
7510-01-316-2302 ,Double-Pocket Report Cover ,10.53,"Five assorted colors include green, red, yellow, dark blue and light blue. Double-pocket presentation portfolio handily accommodates supporting materials, including samples, forms or reference materials. Made of coated, leather-grained paper stock. Each p"
7510-00-904-2663 ,Double-Sided Tape ,5.61,"Does not include liner. 3"" Core. Opaque, paper-based tape is used to mount metal or plastic nameplates or identification plates on walls, desks and other wood, metal or painted surfaces.  "
7510-00-935-5848 ,Double-Sided Tape ,4.89,"Includes liner. 3"" Core. Opaque, paper-based tape is used to mount metal or plastic nameplates or identification plates on walls, desks and other wood, metal or painted surfaces.  "
7510-00-132-5109 ,Double-Sided Tape ,41.12,"Miscellaneous-use tape has a high-strength, neoprene rubber foam backing with a silicone release paper liner. Used for mounting indoor signs and name plates to irregular surfaces. Double-coated and is high temperature resistant.  "
7510-00-165-6560 ,Double-Sided Tape ,17.4,"Multi-purpose, double-coated, vinyl foam tape has a silicone-treated liner and and is weather and solvent resisant. Use in mounting trim, nameplates, utensil racks, dispensers, decorator items, small mirrors and memo boards to smooth surfaces.  "
7510-01-565-9540 ,Double-Sided Tape ,3.67,"Permanent adhesive, photo safe, 3.5 mil. thick acrylic Double-sided tape with adhesive on both sides is excellent for attaching two sheets of paper, mounting photos, artwork and more with no mess. Tape won®t show when applied and won't dry out or yellow. "
7510-01-565-9541 ,Double-Sided Tape ,4.43,"Removable, mounting post tape, 4 mil. thick Double-sided tape with adhesive on both sides is excellent for attaching two sheets of paper, mounting photos, artwork and more with no mess. Tape won®t show when applied and won't dry out or yellow. Comes in a "
7510-01-565-9539 ,Double-Sided Tape ,5.2,"Removable, photo safe, 2.4 mil thick acrylic Double-sided tape with adhesive on both sides is excellent for attaching two sheets of paper, mounting photos, artwork and more with no mess. Tape won®t show when applied and won't dry out or yellow. Comes in a"
7510-00-550-7815 ,Double-Sided Tape ,5.9,"Transparent, film-based tape does not include a liner. Coated with adhesive on both sides, this tape is used for mounting photographs, drawings and clippings or for holding premiums and samples. Has a 3"" core.  "
7510-00-550-7814 ,Double-Sided Tape ,9.27,"Transparent, film-based tape does not include a liner. Coated with adhesive on both sides, this tape is used for mounting photographs, drawings and clippings or for holding premiums and samples. Has a 3"" core.  "
7510-01-297-3963 ,Dr. Grip Eraser Refill ,1.22,Eraser comes with two needles. Fits all Pilot pencils except the H115.  
7510-01-451-0738 ,Dr. Grip Pen Refill ,0.92,"Refill for the Pilot Dr. Grip, EasyTouch and BPS ballpoint pens.  "
7510-01-451-0740 ,Dr. Grip Pen Refill ,0.92,"Refill for the Pilot Dr. Grip, EasyTouch and BPS ballpoint pens.  "
7110-00-194-1611 ,Drafting Chair ,168.06,Seat and back are covered with durable artificial leather upholstery. Ideal for drafting or laboratory use. Nontilting seat and adjustable back are padded with foam rubber for extra comfort. Has sturdy tubular steel construction and enamel-painted surface
7110-00-281-4469 ,Drafting Chair ,168.28,Seat and back are covered with fabric upholstery. Ideal for drafting or laboratory use. Nontilting seat and adjustable back are padded with foam rubber for extra comfort. Has sturdy tubular steel construction and enamel-painted surfaces. Seat adjusts from
7195-00-281-6260 ,Drafting Stool ,93.6,"Seat is made of 13"" diameter wood with a smooth surface and rounded edges. Seat is slightly dished for comfort and is adjustable in 1"" increments within a 3"" range. Stool measures 14"" (330mm) wide and 14"" deep overall. Backless rotary stool has an enamel-"
7930-01-399-2720 ,Drain Odor Control ,80.99,"Werth Sanitary Supply Co. Inc. Formula 66 Enzyme Digester P/N 100210 or equal. Box contains 12, 1-quart containers. General purpose detergent, non-acid, non-alkaline drain maintainer. Digests malodors, stains and waste from humans, grease, food and other "
5120-00-030-2738 ,Drain Plug Wrench ,9.68,"Use this T-handled steel wrench on ship deck drain valve fittings. Drive size: 27/64"". Rigid tee handle width: 3 1/2 ""; Features a black oxide or phosphate coating followed with rust preventive oil.  "
4510-00-242-4358 ,Drain Stopper ,3.36,"White rubber stopper for sinks, bathtubs and laundry tubs has a stainless steel or nickel-plated ring and a rubber post.  "
4510-00-595-0922 ,Drain Trap ,31.28,"Two-piece unit has a swivel joint and a cast elbow. Elbow has a female threaded outlet. Measures 5-1/2"" long overall. Lavatory P-trap has a slip-joint inlet connection with a washer and nut. Chrome-plated brass. Also has a clean-out plug with a washer.  "
4510-00-756-1145 ,Drain Trap ,26.5,"Two-piece unit has a swivel joint and elbow extension tube. With straight tube outlet and escutcheon plate. Measures 10-1/4"" minimum from trap centerline to tube outlet. Lavatory P-trap has a slip-joint inlet connection with a washer and nut. Chrome-plate"
7105-01-346-8948 ,Drawer Unit ,136.74,"Drawer unit, under bed mounted, contemporary oak, wood drawer front. Two drawer units placed side by side will fit under a bed. If beds are bunked, drawers are to be used under the bottom bunk only. Contemporary style, oak furniture  "
7105-01-462-1063 ,Drawer unit ,136.74,"Drawer unit, under bed mounted, contemporary oak, wood drawer front. Two drawer units placed side by side will fit under a bed. If beds are bunked, drawers are to be used under the bottom bunk only. Contemporary style, oak furniture  "
7105-01-345-3472 ,Dresser ,407.33,"The dresser is three drawers high and two drawers wide with a laminate top. Contemporary style, oak furniture  "
7105-01-462-1047 ,Dresser ,407.33,"The dresser is three drawers high and two drawers wide with a laminate top. Contemporary style, oak furniture  "
5133-00-222-9471 ,Drill Bit (Carbide-Tipped) ,6.96,"These drill bits are for right-hand cutting & are made of high speed, heat treated steel & are carbide tipped. They have two spiral flutes, a 118? point angle & they have a straight, round shank. Described by the following (Size, Length, Flute length) ASM"
5133-00-222-9469 ,Drill Bit (Carbide-Tipped) ,8.23,"These drill bits are for right-hand cutting & are made of high speed, heat treated steel & are carbide tipped. They have two spiral flutes, a 118? point angle & they have a straight, round shank. Described by the following (Size, Length, Flute length) ASM"
5133-00-222-9470 ,Drill Bit (Carbide-Tipped) ,10.61,"These drill bits are for right-hand cutting & are made of high speed, heat treated steel & are carbide tipped. They have two spiral flutes, a 118? point angle & they have a straight, round shank. Described by the following (Size, Length, Flute length) ASM"
5133-00-222-9467 ,Drill Bit (Carbide-Tipped) ,12.05,"These drill bits are for right-hand cutting & are made of high speed, heat treated steel & are carbide tipped. They have two spiral flutes, a 118? point angle & they have a straight, round shank. Described by the following (Size, Length, Flute length) ASM"
5133-00-222-9468 ,Drill Bit (Carbide-Tipped) ,14.68,"These drill bits are for right-hand cutting & are made of high speed, heat treated steel & are carbide tipped. They have two spiral flutes, a 118? point angle & they have a straight, round shank. Described by the following (Size, Length, Flute length) ASM"
5133-00-222-9466 ,Drill Bit (Carbide-Tipped) ,17.65,"These drill bits are for right-hand cutting & are made of high speed, heat treated steel & are carbide tipped. They have two spiral flutes, a 118? point angle & they have a straight, round shank. Described by the following (Size, Length, Flute length) ASM"
